x,y,intensity,area
2.171132e+03,1.381563e+03,nan,nan
3.438975e+03,1.419516e+03,nan,nan
3.661891e+03,1.430124e+03,nan,nan
2.381955e+03,1.426323e+03,nan,nan
3.221522e+03,1.423408e+03,nan,nan
3.505768e+03,1.438650e+03,nan,nan
2.824023e+03,1.430554e+03,nan,nan
3.094174e+03,1.427323e+03,nan,nan
2.520332e+03,1.433836e+03,nan,nan
2.964439e+03,1.451140e+03,nan,nan
2.328636e+03,1.460226e+03,nan,nan
3.879029e+03,1.441641e+03,nan,nan
2.244213e+03,1.453005e+03,nan,nan
3.179493e+03,1.446586e+03,nan,nan
3.606211e+03,1.446011e+03,nan,nan
3.271499e+03,1.466198e+03,nan,nan
2.900594e+03,1.457360e+03,nan,nan
3.839980e+03,1.466491e+03,nan,nan
2.746803e+03,1.472713e+03,nan,nan
3.446360e+03,1.477037e+03,nan,nan
2.435339e+03,1.469381e+03,nan,nan
3.561749e+03,1.466576e+03,nan,nan
3.779295e+03,1.494732e+03,nan,nan
2.611249e+03,1.464026e+03,nan,nan
3.636621e+03,1.472296e+03,nan,nan
3.043098e+03,1.482271e+03,nan,nan
2.024934e+03,1.425046e+03,nan,nan
3.336631e+03,1.474618e+03,nan,nan
2.392672e+03,1.502488e+03,nan,nan
3.958687e+03,1.488137e+03,nan,nan
2.480034e+03,1.495199e+03,nan,nan
3.145482e+03,1.508389e+03,nan,nan
2.622916e+03,1.510154e+03,nan,nan
2.203186e+03,1.507346e+03,nan,nan
3.704406e+03,1.511569e+03,nan,nan
2.559955e+03,1.518343e+03,nan,nan
2.013689e+03,1.487032e+03,nan,nan
3.093160e+03,1.518876e+03,nan,nan
3.618648e+03,1.527841e+03,nan,nan
2.677458e+03,1.519890e+03,nan,nan
3.207081e+03,1.509186e+03,nan,nan
2.824299e+03,1.519783e+03,nan,nan
3.355813e+03,1.533465e+03,nan,nan
3.914462e+03,1.552036e+03,nan,nan
2.618744e+03,1.544122e+03,nan,nan
2.960675e+03,1.551490e+03,nan,nan
1.986736e+03,1.546299e+03,nan,nan
2.105599e+03,1.543237e+03,nan,nan
3.855439e+03,1.543792e+03,nan,nan
2.513324e+03,1.554915e+03,nan,nan
3.432933e+03,1.527581e+03,nan,nan
